"Instituto Nacional de Estadística y Geografía",
"",
"30. Veracruz (mensual)",
"Fecha de consulta: 19/04/2025 21:27:01",

"Título","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 30 Veracruz, Índice de precios al consumidor, por objeto del gasto, Índice general","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 30 Veracruz, Índice de precios al consumidor, por objeto del gasto, Índice general, 1. Alimentos, bebidas y tabaco","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 30 Veracruz, Índice de precios al consumidor, por objeto del gasto, Índice general, 2. Ropa, calzado y accesorios","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 30 Veracruz, Índice de precios al consumidor, por objeto del gasto, Índice general, 3. Vivienda","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 30 Veracruz, Índice de precios al consumidor, por objeto del gasto, Índice general, 4. Muebles, aparatos y accesorios domésticos","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 30 Veracruz, Índice de precios al consumidor, por objeto del gasto, Índice general, 5. Salud y cuidado personal, 5.1. Salud","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 30 Veracruz, Índice de precios al consumidor, por objeto del gasto, Índice general, 5. Salud y cuidado personal, 5.2. Cuidado personal","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 30 Veracruz, Índice de precios al consumidor, por objeto del gasto, Índice general, 6. Transporte","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 30 Veracruz, Índice de precios al consumidor, por objeto del gasto, Índice general, 7. Educación y esparcimiento","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 30 Veracruz, Índice de precios al consumidor, por objeto del gasto, Índice general, 8. Otros servicios"
"Periodo disponible","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025"
"Periodicidad","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual"
"Cifra","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices"
"Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad"
"Base","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100"
"Aviso","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  "
"Tipo de información","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices"
"Fecha","907420","907421","907576","907628","907653","907709","907737","907758","907794","907839"
"Ene 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
